Month,Day,MaxTemp
January,1,19.6
January,2,31.4
January,3,33.6
January,4,20.4
January,5,19.3
January,6,20.5
January,7,25.2
January,8,26.8
January,9,28.3
January,10,26.6
January,11,24.4
January,12,18.1
January,13,20.6
January,14,23.8
January,15,19.3
January,16,19
January,17,33.4
January,18,23.7
January,19,19.6
January,20,21.3
January,21,22.3
January,22,28
January,23,19
January,24,19.8
January,25,22.2
January,26,18.9
January,27,24.8
January,28,32.2
January,29,23.8
January,30,22.7
January,31,32.6
February,1,32.3
February,2,24.2
February,3,20.7
February,4,21.3
February,5,24.4
February,6,18.2
February,7,20.2
February,8,20.4
February,9,18.2
February,10,25.5
February,11,28.5
February,12,37.1
February,13,26.3
February,14,37.3
February,15,21.8
February,16,22.4
February,17,22.3
February,18,23.3
February,19,31.1
February,20,40.6
February,21,22.1
February,22,17.1
February,23,20.6
February,24,19.2
February,25,19.1
February,26,30.4
February,27,24.7
February,28,23.5
March,1,24.4
March,2,26
March,3,22.5
March,4,21.8
March,5,24.8
March,6,21.2
March,7,21.7
March,8,27.2
March,9,17.1
March,10,17
March,11,21.6
March,12,24
March,13,25.6
March,14,28.5
March,15,21.2
March,16,23.1
March,17,18.5
March,18,31.2
March,19,35.4
March,20,21.7
March,21,27.4
March,22,28
March,23,18.8
March,24,19.8
March,25,22.4
March,26,20.6
March,27,22
March,28,18.2
March,29,18.7
March,30,20.3
March,31,18.4
April,1,19.4
April,2,17.6
April,3,26
April,4,19.1
April,5,19.3
April,6,19.1
April,7,17.4
April,8,17.3
April,9,19.4
April,10,26.6
April,11,27.6
April,12,28.2
April,13,22.7
April,14,21.8
April,15,32.2
April,16,29.6
April,17,22.3
April,18,29.4
April,19,27.3
April,20,24.6
April,21,23.4
April,22,25.2
April,23,24.1
April,24,19
April,25,18.2
April,26,19.6
April,27,17.1
April,28,14
April,29,14
April,30,17.7
May,1,15.8
May,2,15.3
May,3,17.7
May,4,22
May,5,23
May,6,23.6
May,7,23.9
May,8,18.2
May,9,24.5
May,10,18.6
May,11,18.2
May,12,20.6
May,13,17
May,14,19
May,15,20.6
May,16,21.2
May,17,19.8
May,18,15.4
May,19,15.1
May,20,16.8
May,21,13
May,22,14.5
May,23,13.8
May,24,15.5
May,25,16.1
May,26,19.8
May,27,20.3
May,28,17.5
May,29,17
May,30,16.3
May,31,17
June,1,16.3
June,2,17.6
June,3,14.3
June,4,11.2
June,5,15.2
June,6,14.3
June,7,14.6
June,8,11.7
June,9,12
June,10,11.2
June,11,13.6
June,12,12.2
June,13,13
June,14,13.5
June,15,13.5
June,16,14.8
June,17,16
June,18,13.6
June,19,13.5
June,20,13.8
June,21,13.7
June,22,15.6
June,23,14.9
June,24,13.5
June,25,17
June,26,17.4
June,27,18
June,28,14.8
June,29,12.3
June,30,13.1
July,1,13
July,2,11.5
July,3,12.4
July,4,11.6
July,5,11.7
July,6,14.1
July,7,13
July,8,13.9
July,9,11.7
July,10,12.3
July,11,12.7
July,12,10.1
July,13,14.8
July,14,13.7
July,15,16.4
July,16,15.4
July,17,16.4
July,18,15.2
July,19,14
July,20,13.2
July,21,11
July,22,13.4
July,23,12.8
July,24,12.7
July,25,12.6
July,26,13.2
July,27,17.7
July,28,14.9
July,29,14.7
July,30,14.7
July,31,13.4
August,1,14.6
August,2,15.8
August,3,13.1
August,4,15.4
August,5,15.1
August,6,16.7
August,7,15.2
August,8,14.6
August,9,15.4
August,10,15.3
August,11,17.7
August,12,15
August,13,15.1
August,14,13.6
August,15,14.4
August,16,12.4
August,17,13.4
August,18,16.3
August,19,18.6
August,20,22
August,21,17
August,22,17.3
August,23,19
August,24,20.7
August,25,17.1
August,26,13.7
August,27,13.7
August,28,12.7
August,29,16.9
August,30,18.7
August,31,23.5
September,1,15.9
September,2,15.8
September,3,15.5
September,4,17.4
September,5,18.8
September,6,16.7
September,7,21.1
September,8,19
September,9,18.1
September,10,14.4
September,11,17.3
September,12,19.1
September,13,13.7
September,14,16.9
September,15,20.3
September,16,14.3
September,17,18.2
September,18,18.3
September,19,16
September,20,15.5
September,21,16.5
September,22,16.5
September,23,20
September,24,23.5
September,25,25.2
September,26,17.9
September,27,18
September,28,18.6
September,29,23.5
September,30,27
October,1,27.6
October,2,24
October,3,25.6
October,4,17.6
October,5,22.8
October,6,23.9
October,7,17.4
October,8,15
October,9,17.3
October,10,17
October,11,21.4
October,12,21.7
October,13,15.3
October,14,16.5
October,15,17.2
October,16,21.5
October,17,15.6
October,18,16.5
October,19,22.4
October,20,25.6
October,21,21.5
October,22,22.1
October,23,29.3
October,24,25.6
October,25,15.9
October,26,19
October,27,27.4
October,28,23.6
October,29,15.7
October,30,17.7
October,31,18.3
November,1,17.7
November,2,14.9
November,3,17.3
November,4,14.6
November,5,19.1
November,6,24
November,7,18
November,8,18
November,9,16.4
November,10,17.7
November,11,25.2
November,12,30.9
November,13,29
November,14,37.4
November,15,19.4
November,16,21.6
November,17,35.7
November,18,32.7
November,19,31
November,20,18.4
November,21,21.9
November,22,16.9
November,23,17.4
November,24,17
November,25,17.7
November,26,20.6
November,27,32.3
November,28,30.8
November,29,25.9
November,30,19.6
December,1,19.4
December,2,28.7
December,3,26.8
December,4,23.8
December,5,18.2
December,6,20.2
December,7,21.6
December,8,23.2
December,9,31.2
December,10,37.5
December,11,41.5
December,12,24
December,13,22.1
December,14,18.2
December,15,21.4
December,16,19.5
December,17,15.5
December,18,16.9
December,19,18.3
December,20,24.4
December,21,38.5
December,22,38.4
December,23,40.2
December,24,19.7
December,25,28.5
December,26,23.5
December,27,27.7
December,28,30.7
December,29,33.8
December,30,20
December,31,27
,,34.9
