Product code,Bureau of Meteorology station number,Year,Month,Day,MaxTemp,Days of accumulation of maximum temperature,Quality
IDCJAC0010,86104,2021,January,1,29.7,1,Y
IDCJAC0010,86104,2021,January,2,28.3,1,Y
IDCJAC0010,86104,2021,January,3,27,1,Y
IDCJAC0010,86104,2021,January,4,18.5,1,Y
IDCJAC0010,86104,2021,January,5,18.6,1,Y
IDCJAC0010,86104,2021,January,6,19.4,1,Y
IDCJAC0010,86104,2021,January,7,25.1,1,Y
IDCJAC0010,86104,2021,January,8,28.4,1,Y
IDCJAC0010,86104,2021,January,9,30.8,1,Y
IDCJAC0010,86104,2021,January,10,34.5,1,Y
IDCJAC0010,86104,2021,January,11,35.9,1,Y
IDCJAC0010,86104,2021,January,12,24.4,1,Y
IDCJAC0010,86104,2021,January,13,34.6,1,Y
IDCJAC0010,86104,2021,January,14,23.2,1,Y
IDCJAC0010,86104,2021,January,15,20.5,1,Y
IDCJAC0010,86104,2021,January,16,19.9,1,Y
IDCJAC0010,86104,2021,January,17,20.9,1,Y
IDCJAC0010,86104,2021,January,18,23.4,1,Y
IDCJAC0010,86104,2021,January,19,20.3,1,Y
IDCJAC0010,86104,2021,January,20,27.2,1,Y
IDCJAC0010,86104,2021,January,21,33,1,Y
IDCJAC0010,86104,2021,January,22,28.8,1,Y
IDCJAC0010,86104,2021,January,23,31.6,1,Y
IDCJAC0010,86104,2021,January,24,37.3,1,Y
IDCJAC0010,86104,2021,January,25,39.9,1,Y
IDCJAC0010,86104,2021,January,26,18.6,1,Y
IDCJAC0010,86104,2021,January,27,25.5,1,Y
IDCJAC0010,86104,2021,January,28,24.7,1,Y
IDCJAC0010,86104,2021,January,29,20.7,1,Y
IDCJAC0010,86104,2021,January,30,22.6,1,Y
IDCJAC0010,86104,2021,January,31,23.5,1,Y
IDCJAC0010,86104,2021,February,1,22.2,1,Y
IDCJAC0010,86104,2021,February,2,19.6,1,Y
IDCJAC0010,86104,2021,February,3,25,1,Y
IDCJAC0010,86104,2021,February,4,30.6,1,Y
IDCJAC0010,86104,2021,February,5,28.2,1,Y
IDCJAC0010,86104,2021,February,6,25,1,Y
IDCJAC0010,86104,2021,February,7,20.4,1,Y
IDCJAC0010,86104,2021,February,8,20.2,1,Y
IDCJAC0010,86104,2021,February,9,27.6,1,Y
IDCJAC0010,86104,2021,February,10,32.7,1,Y
IDCJAC0010,86104,2021,February,11,31.8,1,Y
IDCJAC0010,86104,2021,February,12,24.4,1,Y
IDCJAC0010,86104,2021,February,13,21.1,1,Y
IDCJAC0010,86104,2021,February,14,22.3,1,Y
IDCJAC0010,86104,2021,February,15,27.7,1,Y
IDCJAC0010,86104,2021,February,16,30.5,1,Y
IDCJAC0010,86104,2021,February,17,32.4,1,Y
IDCJAC0010,86104,2021,February,18,31.5,1,Y
IDCJAC0010,86104,2021,February,19,32.1,1,Y
IDCJAC0010,86104,2021,February,20,31.7,1,Y
IDCJAC0010,86104,2021,February,21,21.8,1,Y
IDCJAC0010,86104,2021,February,22,22.6,1,Y
IDCJAC0010,86104,2021,February,23,19.8,1,Y
IDCJAC0010,86104,2021,February,24,22.5,1,Y
IDCJAC0010,86104,2021,February,25,24.5,1,Y
IDCJAC0010,86104,2021,February,26,20.8,1,Y
IDCJAC0010,86104,2021,February,27,19.4,1,Y
IDCJAC0010,86104,2021,February,28,28.9,1,Y
IDCJAC0010,86104,2021,March,1,22.6,1,N
IDCJAC0010,86104,2021,March,2,18.9,1,N
IDCJAC0010,86104,2021,March,3,20.3,1,N
IDCJAC0010,86104,2021,March,4,20.9,1,N
IDCJAC0010,86104,2021,March,5,18,1,N
IDCJAC0010,86104,2021,March,6,22.7,1,N
IDCJAC0010,86104,2021,March,7,29.2,1,N
IDCJAC0010,86104,2021,March,8,21.2,1,N
IDCJAC0010,86104,2021,March,9,20.5,1,N
IDCJAC0010,86104,2021,March,10,23.9,1,N
IDCJAC0010,86104,2021,March,11,26.9,1,N
