Product code,Bureau of Meteorology station number,Year,Month,Day,MaxTemp,Days of accumulation of maximum temperature,Quality
IDCJAC0010,86077,1980,1,1,19.6,,Y
IDCJAC0010,86077,1980,1,2,31.4,1,Y
IDCJAC0010,86077,1980,1,3,33.6,1,Y
IDCJAC0010,86077,1980,1,4,20.4,1,Y
IDCJAC0010,86077,1980,1,5,19.3,1,Y
IDCJAC0010,86077,1980,1,6,20.5,1,Y
IDCJAC0010,86077,1980,1,7,25.2,1,Y
IDCJAC0010,86077,1980,1,8,26.8,1,Y
IDCJAC0010,86077,1980,1,9,28.3,1,Y
IDCJAC0010,86077,1980,1,10,26.6,1,Y
IDCJAC0010,86077,1980,1,11,24.4,1,Y
IDCJAC0010,86077,1980,1,12,18.1,1,Y
IDCJAC0010,86077,1980,1,13,20.6,1,Y
IDCJAC0010,86077,1980,1,14,23.8,1,Y
IDCJAC0010,86077,1980,1,15,19.3,1,Y
IDCJAC0010,86077,1980,1,16,19,1,Y
IDCJAC0010,86077,1980,1,17,33.4,1,Y
IDCJAC0010,86077,1980,1,18,23.7,1,Y
IDCJAC0010,86077,1980,1,19,19.6,1,Y
IDCJAC0010,86077,1980,1,20,21.3,1,Y
IDCJAC0010,86077,1980,1,21,22.3,1,Y
IDCJAC0010,86077,1980,1,22,28,1,Y
IDCJAC0010,86077,1980,1,23,19,1,Y
IDCJAC0010,86077,1980,1,24,19.8,1,Y
IDCJAC0010,86077,1980,1,25,22.2,1,Y
IDCJAC0010,86077,1980,1,26,18.9,1,Y
IDCJAC0010,86077,1980,1,27,24.8,1,Y
IDCJAC0010,86077,1980,1,28,32.2,1,Y
IDCJAC0010,86077,1980,1,29,23.8,1,Y
IDCJAC0010,86077,1980,1,30,22.7,1,Y
IDCJAC0010,86077,1980,1,31,32.6,1,Y
IDCJAC0010,86077,1980,2,1,32.3,1,Y
IDCJAC0010,86077,1980,2,2,24.2,1,Y
IDCJAC0010,86077,1980,2,3,20.7,1,Y
IDCJAC0010,86077,1980,2,4,21.3,1,Y
IDCJAC0010,86077,1980,2,5,24.4,1,Y
IDCJAC0010,86077,1980,2,6,18.2,1,Y
IDCJAC0010,86077,1980,2,7,20.2,1,Y
IDCJAC0010,86077,1980,2,8,20.4,1,Y
IDCJAC0010,86077,1980,2,9,18.2,1,Y
IDCJAC0010,86077,1980,2,10,25.5,1,Y
IDCJAC0010,86077,1980,2,11,28.5,1,Y
IDCJAC0010,86077,1980,2,12,37.1,1,Y
IDCJAC0010,86077,1980,2,13,26.3,1,Y
IDCJAC0010,86077,1980,2,14,37.3,1,Y
IDCJAC0010,86077,1980,2,15,21.8,1,Y
IDCJAC0010,86077,1980,2,16,22.4,1,Y
IDCJAC0010,86077,1980,2,17,22.3,1,Y
IDCJAC0010,86077,1980,2,18,23.3,1,Y
IDCJAC0010,86077,1980,2,19,31.1,1,Y
IDCJAC0010,86077,1980,2,20,40.6,1,Y
IDCJAC0010,86077,1980,2,21,22.1,1,Y
IDCJAC0010,86077,1980,2,22,17.1,1,Y
IDCJAC0010,86077,1980,2,23,20.6,1,Y
IDCJAC0010,86077,1980,2,24,19.2,1,Y
IDCJAC0010,86077,1980,2,25,19.1,1,Y
IDCJAC0010,86077,1980,2,26,30.4,1,Y
IDCJAC0010,86077,1980,2,27,24.7,1,Y
IDCJAC0010,86077,1980,2,28,23.5,1,Y
IDCJAC0010,86077,1980,2,29,24.4,1,Y
IDCJAC0010,86077,1980,3,1,26,1,Y
IDCJAC0010,86077,1980,3,2,22.5,1,Y
IDCJAC0010,86077,1980,3,3,21.8,1,Y
IDCJAC0010,86077,1980,3,4,24.8,1,Y
IDCJAC0010,86077,1980,3,5,21.2,1,Y
IDCJAC0010,86077,1980,3,6,21.7,1,Y
IDCJAC0010,86077,1980,3,7,27.2,1,Y
IDCJAC0010,86077,1980,3,8,17.1,1,Y
IDCJAC0010,86077,1980,3,9,17,1,Y
IDCJAC0010,86077,1980,3,10,21.6,1,Y
IDCJAC0010,86077,1980,3,11,24,1,Y
IDCJAC0010,86077,1980,3,12,25.6,1,Y
IDCJAC0010,86077,1980,3,13,28.5,1,Y
IDCJAC0010,86077,1980,3,14,21.2,1,Y
IDCJAC0010,86077,1980,3,15,23.1,1,Y
IDCJAC0010,86077,1980,3,16,18.5,1,Y
IDCJAC0010,86077,1980,3,17,31.2,1,Y
IDCJAC0010,86077,1980,3,18,35.4,1,Y
