country_or_area,year,value,category
Australia,2014,393126.947,CO2 Emissions
Australia,2013,396913.9365,CO2 Emissions
Australia,2012,406462.8477,CO2 Emissions
Australia,2011,403705.5283,CO2 Emissions
Australia,2010,406200.9932,CO2 Emissions
Australia,2009,408448.479,CO2 Emissions
Australia,2008,404237.8282,CO2 Emissions
Australia,2007,398816.4535,CO2 Emissions
Australia,2006,391134.1009,CO2 Emissions
Australia,2005,385581.1328,CO2 Emissions
Australia,2004,381519.2616,CO2 Emissions
Australia,2003,368345.9774,CO2 Emissions
Australia,2002,361861.3879,CO2 Emissions
Australia,2001,357653.3299,CO2 Emissions
Australia,2000,349885.4331,CO2 Emissions
Australia,1999,343713.9069,CO2 Emissions
Australia,1998,334328.1426,CO2 Emissions
Australia,1997,320439.1168,CO2 Emissions
Australia,1996,311914.8198,CO2 Emissions
Australia,1995,305162.5435,CO2 Emissions
Australia,1994,293830.7091,CO2 Emissions
Australia,1993,289142.2677,CO2 Emissions
Australia,1992,284766.0927,CO2 Emissions
Australia,1991,279741.639,CO2 Emissions
Australia,1990,278265.8989,CO2 Emissions
Austria,2014,64262.56399,CO2 Emissions
Austria,2013,67957.12111,CO2 Emissions
Austria,2012,67698.65863,CO2 Emissions
Austria,2011,70327.16704,CO2 Emissions
Austria,2010,72531.82613,CO2 Emissions
Austria,2009,67682.72515,CO2 Emissions
Austria,2008,74066.25579,CO2 Emissions
Austria,2007,74268.11072,CO2 Emissions
Austria,2006,76934.95153,CO2 Emissions
Austria,2005,79588.50188,CO2 Emissions
Austria,2004,78388.99743,CO2 Emissions
Austria,2003,78023.9539,CO2 Emissions
Austria,2002,72126.59144,CO2 Emissions
Austria,2001,70299.47115,CO2 Emissions
Austria,2000,66274.74325,CO2 Emissions
Austria,1999,65660.13364,CO2 Emissions
Austria,1998,67047.25067,CO2 Emissions
Austria,1997,67455.89273,CO2 Emissions
Austria,1996,67667.2627,CO2 Emissions
Austria,1995,64202.15922,CO2 Emissions
Austria,1994,61189.1025,CO2 Emissions
Austria,1993,60790.75772,CO2 Emissions
Austria,1992,60432.24934,CO2 Emissions
Austria,1991,65903.51331,CO2 Emissions
Austria,1990,62297.16557,CO2 Emissions
Belarus,2014,60615.64573,CO2 Emissions
Belarus,2013,61510.98715,CO2 Emissions
Belarus,2012,60636.85139,CO2 Emissions
Belarus,2011,61128.40059,CO2 Emissions
Belarus,2010,61632.4927,CO2 Emissions
Belarus,2009,59596.20538,CO2 Emissions
Belarus,2008,63846.10379,CO2 Emissions
Belarus,2007,61563.88173,CO2 Emissions
Belarus,2006,62229.39888,CO2 Emissions
Belarus,2005,59664.73908,CO2 Emissions
Belarus,2004,58457.64762,CO2 Emissions
Belarus,2003,54845.14584,CO2 Emissions
Belarus,2002,53843.70442,CO2 Emissions
Belarus,2001,53783.84767,CO2 Emissions
Belarus,2000,53686.85749,CO2 Emissions
Belarus,1999,55033.95212,CO2 Emissions
Belarus,1998,57426.32958,CO2 Emissions
Belarus,1997,60971.81631,CO2 Emissions
Belarus,1996,57251.3557,CO2 Emissions
Belarus,1995,56005.93938,CO2 Emissions
Belarus,1994,62402.27908,CO2 Emissions
Belarus,1993,75551.75529,CO2 Emissions
Belarus,1992,87060.81029,CO2 Emissions
Belarus,1991,93649.16614,CO2 Emissions
Belarus,1990,100438.0951,CO2 Emissions
Belgium,2014,96325.41318,CO2 Emissions
Belgium,2013,101744.7367,CO2 Emissions
Belgium,2012,100931.5956,CO2 Emissions
Belgium,2011,104945.7138,CO2 Emissions
Belgium,2010,114155.3867,CO2 Emissions
Belgium,2009,107282.5435,CO2 Emissions
Belgium,2008,120362.6098,CO2 Emissions
Belgium,2007,118027.4086,CO2 Emissions
Belgium,2006,122319.5938,CO2 Emissions
Belgium,2005,125118.0165,CO2 Emissions
Belgium,2004,128640.4835,CO2 Emissions
Belgium,2003,127523.9897,CO2 Emissions
Belgium,2002,126015.1947,CO2 Emissions
Belgium,2001,125649.3705,CO2 Emissions
Belgium,2000,126315.2099,CO2 Emissions
Belgium,1999,124208.0718,CO2 Emissions
Belgium,1998,129737.09,CO2 Emissions
Belgium,1997,123495.7428,CO2 Emissions
Belgium,1996,129010.4717,CO2 Emissions
Belgium,1995,125519.442,CO2 Emissions
Belgium,1994,124426.8857,CO2 Emissions
Belgium,1993,121156.965,CO2 Emissions
Belgium,1992,122217.9195,CO2 Emissions
Belgium,1991,123130.6529,CO2 Emissions
Belgium,1990,119982.5034,CO2 Emissions
Bulgaria,2014,45139.95529,CO2 Emissions
Bulgaria,2013,42534.9272,CO2 Emissions
Bulgaria,2012,48117.55608,CO2 Emissions
Bulgaria,2011,53020.98112,CO2 Emissions
Bulgaria,2010,47678.64896,CO2 Emissions
